City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Torbay,CA,2022-03-31 20:29:21,47.6666,-52.7314,41.29,67,75,12.66
68,Lubliniec,PL,2022-03-31 20:29:21,50.669,18.6844,33.49,97,100,14.97
69,Lebu,CL,2022-03-31 20:29:21,-37.6167,-73.65,56.05,66,96,21.77
70,Thompson,CA,2022-03-31 20:29:22,55.7435,-97.8558,41.16,33,75,10.36
71,Kandrian,PG,2022-03-31 20:29:22,-6.2167,149.55,78.28,86,100,5.79
72,Carnarvon,AU,2022-03-31 20:29:22,-24.8667,113.6333,68.07,100,75,21.85
73,Camacari,BR,2022-03-31 20:29:23,-12.6975,-38.3242,83.97,70,8,6.15
74,Pampa,US,2022-03-31 20:29:23,35.5362,-100.9599,62.64,20,0,9.22
75,Hilo,US,2022-03-31 20:25:20,19.7297,-155.09,80.33,73,0,6.91
76,Kropotkin,RU,2022-03-31 20:26:27,45.4375,40.5756,53.67,61,99,7.96
77,Uttaradit,TH,2022-03-31 20:29:24,17.6667,100.5,75.92,61,32,4.05
78,Bundaberg,AU,2022-03-31 20:29:24,-24.85,152.35,71.89,79,75,9.22
79,Pemangkat,ID,2022-03-31 20:29:24,1.1667,108.9667,80.1,78,100,4.45
80,Kuytun,RU,2022-03-31 20:29:25,54.3419,101.5036,20.7,93,100,4.07
81,Saint-Philippe,RE,2022-03-31 20:29:25,-21.3585,55.7679,76.59,81,100,13.56
82,Orlik,RU,2022-03-31 20:29:25,52.5178,99.825,1.47,94,45,3.18
83,Cabo San Lucas,MX,2022-03-31 20:29:26,22.8909,-109.9124,83.61,38,20,11.5
84,Haukipudas,FI,2022-03-31 20:29:26,65.1765,25.3523,19.45,89,87,3.0
85,Tres Arroyos,AR,2022-03-31 20:29:26,-38.3739,-60.2798,62.17,34,0,5.19
86,Taoudenni,ML,2022-03-31 20:29:27,22.6783,-3.9836,83.91,9,100,7.05
